"Nro documento","Fecha","Estado movto.","ZONAS","CLASE DE CLIENTE","Cant. pedida","","Cant. pendiente","Desc. sucursal factura","Referencia","Desc. detalle ext. 1","Fecha factura desde pedido","Desc. ciudad","Cliente factura","Precio unit.","",""
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS NEIVA","DREAM  NEO                                        ","NEGRO ROJ","","NEIVA","890705577","$3","67","227"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS NEIVA","DREAM  NEO                                        ","NEGRO AZU","","NEIVA","890705577","$3","67","227"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","12","SUPERMOTOS DEL HUILA SAS","12","SUPERMOTOS DEL HUILA SAS NEIVA","*CB-110                                           ","NEGRO    ","","NEIVA","890705577","$3","67","227"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS NEIVA","CB 110 DLX                                        ","ROJO     ","","NEIVA","890705577","$3","360","504"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS NEIVA","*CB-110                                           ","GRIS MET ","","NEIVA","890705577","$3","696","639"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","12","SUPERMOTOS DEL HUILA SAS","12","SUPERMOTOS DEL HUILA SAS NEIVA","CB 110 DLX                                        ","NEGRO    ","","NEIVA","890705577","$3","360","504"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 160F DLX                                       ","NARANJA N","","NEIVA","890705577","$3","696","639"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS PITALITO","CB 160F DLX                                       ","NEGRO PER","","PITALITO","890705577","$6","133","613"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 190 REPSOL                                     ","NARANJA B","","PITALITO","890705577","$6","133","613"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 190R                                           ","ROJO NEGR","","PITALITO","890705577","$7","730","252"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 190R                                           ","NEGRO ONI","","PITALITO","890705577","$7","554","622"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS PITALITO","*XR 150L                                          ","NEGRO ROJ","","PITALITO","890705577","$7","554","622"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","*XR 150L                                          ","NEGRO    ","","PITALITO","890705577","$5","789","916"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","4","SUPERMOTOS DEL HUILA SAS","4","SUPERMOTOS DEL HUILA SAS PITALITO","*CB-110                                           ","NEGRO    ","","PITALITO","890705577","$5","789","916"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS PITALITO","*CB-110                                           ","AZUL FIJI","","PITALITO","890705577","$3","360","504"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","GRIS     ","","PITALITO","890705577","$3","360","504"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","ROJO     ","","PITALITO","890705577","$3","696","639"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","AZUL     ","","PITALITO","890705577","$3","696","639"
"PVT-00097156","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","8","SUPERMOTOS DEL HUILA SAS","8","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","NEGRO    ","","PITALITO","890705577","$3","696","639"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS PITALITO","DREAM  NEO                                        ","NEGRO ROJ","","PITALITO","890705577","$3","696","639"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS PITALITO","*XR 150L                                          ","NEGRO    ","","PITALITO","890705577","$3","67","227"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","WAVE 110S                                         ","ROJO     ","","PITALITO","890705577","$5","789","916"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","DREAM  NEO                                        ","ROJO ALFA","","PITALITO","890705577","$3","941","176"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS PITALITO","DREAM  NEO                                        ","NEGRO AZU","","PITALITO","890705577","$3","67","227"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","6","SUPERMOTOS DEL HUILA SAS","6","SUPERMOTOS DEL HUILA SAS PITALITO","*CB-110                                           ","NEGRO    ","","PITALITO","890705577","$3","67","227"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","GRIS     ","","PITALITO","890705577","$3","360","504"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","ROJO     ","","PITALITO","890705577","$3","696","639"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","4","SUPERMOTOS DEL HUILA SAS","4","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","AZUL     ","","PITALITO","890705577","$3","696","639"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","10","SUPERMOTOS DEL HUILA SAS","10","SUPERMOTOS DEL HUILA SAS PITALITO","CB 110 DLX                                        ","NEGRO    ","","PITALITO","890705577","$3","696","639"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 160F DLX                                       ","BLANCO PE","","PITALITO","890705577","$3","696","639"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 190R                                           ","ROJO NEGR","","PITALITO","890705577","$6","133","613"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS PITALITO","*XR 150L                                          ","NEGRO BLA","","PITALITO","890705577","$7","554","622"
"PVT-00097044","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS PITALITO","CB 190R                                           ","NEGRO ONI","","PITALITO","890705577","$5","789","916"
"PVT-00097163","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS GARZON","CB 190 REPSOL                                     ","NARANJA B","","PITALITO","890705577","$7","554","622"
"PVT-00097163","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS GARZON","*XR 150L                                          ","NEGRO ROJ","","GARZON","890705577","$7","730","252"
"PVT-00097163","09/05/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","8","SUPERMOTOS DEL HUILA SAS","8","SUPERMOTOS DEL HUILA SAS GARZON","CB 110 DLX                                        ","NEGRO    ","","GARZON","890705577","$5","789","916"
"PVT-00097043","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS GARZON","CB 160F DLX                                       ","NEGRO PER","","GARZON","890705577","$3","696","639"
"PVT-00097043","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS GARZON","WAVE 110S                                         ","ROJO     ","","GARZON","890705577","$6","133","613"
"PVT-00097043","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS GARZON","DREAM  NEO                                        ","NEGRO AZU","","GARZON","890705577","$3","941","176"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","8","SUPERMOTOS DEL HUILA SAS","8","SUPERMOTOS DEL HUILA SAS LA PLATA","*XR 150L                                          ","NEGRO ROJ","","GARZON","890705577","$3","67","227"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","6","SUPERMOTOS DEL HUILA SAS","6","SUPERMOTOS DEL HUILA SAS LA PLATA","*XR 150L                                          ","NEGRO BLA","","LA PLATA","890705577","$5","789","916"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","7","SUPERMOTOS DEL HUILA SAS","7","SUPERMOTOS DEL HUILA SAS LA PLATA","*XR 150L                                          ","NEGRO    ","","LA PLATA","890705577","$5","789","916"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS LA PLATA","WAVE 110S                                         ","ROJO     ","","LA PLATA","890705577","$5","789","916"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS LA PLATA","CB 110 DLX                                        ","GRIS     ","","LA PLATA","890705577","$3","941","176"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS LA PLATA","CB 110 DLX                                        ","NEGRO    ","","LA PLATA","890705577","$3","696","639"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS LA PLATA","CB 110 DLX                                        ","AZUL     ","","LA PLATA","890705577","$3","696","639"
"PVT-00097042","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS LA PLATA","CB 110 DLX                                        ","ROJO     ","","LA PLATA","890705577","$3","696","639"
"PVT-00097102","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 190R                                           ","ROJO NEGR","","LA PLATA","890705577","$3","696","639"
"PVT-00097102","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS FLORENCIA","*XR 150L                                          ","NEGRO ROJ","09/05/2017","FLORENCIA","890705577","$7","554","622"
"PVT-00097102","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS FLORENCIA","*XR 150L                                          ","NEGRO BLA","09/05/2017","FLORENCIA","890705577","$5","789","916"
"PVT-00097102","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","4","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS FLORENCIA","*CB-110                                           ","NEGRO    ","09/05/2017","FLORENCIA","890705577","$5","789","916"
"PVT-00097102","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS FLORENCIA","*CB-110                                           ","AZUL FIJI","09/05/2017","FLORENCIA","890705577","$3","360","504"
"PVT-00097102","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","7","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 110 DLX                                        ","NEGRO    ","09/05/2017","FLORENCIA","890705577","$3","360","504"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","18","SUPERMOTOS DEL HUILA SAS","18","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 110 DLX                                        ","NEGRO    ","09/05/2017","FLORENCIA","890705577","$3","696","639"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 160F DLX                                       ","NEGRO PER","","FLORENCIA","890705577","$3","696","639"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 190 REPSOL                                     ","NARANJA B","","FLORENCIA","890705577","$6","133","613"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS FLORENCIA","*XR 150L                                          ","NEGRO ROJ","","FLORENCIA","890705577","$7","730","252"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","4","SUPERMOTOS DEL HUILA SAS","4","SUPERMOTOS DEL HUILA SAS FLORENCIA","WAVE 110S                                         ","ROJO     ","","FLORENCIA","890705577","$5","789","916"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","4","SUPERMOTOS DEL HUILA SAS","4","SUPERMOTOS DEL HUILA SAS FLORENCIA","WAVE 110S                                         ","NEGRO    ","","FLORENCIA","890705577","$3","941","176"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS FLORENCIA","DREAM  NEO                                        ","ROJO ALFA","","FLORENCIA","890705577","$3","941","176"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS FLORENCIA","DREAM  NEO                                        ","NEGRO AZU","","FLORENCIA","890705577","$3","67","227"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS FLORENCIA","DREAM  NEO                                        ","NEGRO ROJ","","FLORENCIA","890705577","$3","67","227"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS FLORENCIA","*CB-110                                           ","ROJO SPOR","","FLORENCIA","890705577","$3","67","227"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","6","SUPERMOTOS DEL HUILA SAS","6","SUPERMOTOS DEL HUILA SAS FLORENCIA","*CB-110                                           ","NEGRO    ","","FLORENCIA","890705577","$3","360","504"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS FLORENCIA","*CB-110                                           ","AZUL FIJI","","FLORENCIA","890705577","$3","360","504"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 110 DLX                                        ","GRIS     ","","FLORENCIA","890705577","$3","360","504"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","10","SUPERMOTOS DEL HUILA SAS","10","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 110 DLX                                        ","ROJO     ","","FLORENCIA","890705577","$3","696","639"
"PVT-00097041","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","10","SUPERMOTOS DEL HUILA SAS","10","SUPERMOTOS DEL HUILA SAS FLORENCIA","CB 110 DLX                                        ","AZUL     ","","FLORENCIA","890705577","$3","696","639"
"PVT-00097105","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL TOLIMA S.A.S","1","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 110 DLX                                        ","ROJO     ","","FLORENCIA","890705577","$3","696","639"
"PVT-00097098","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL TOLIMA S.A.S","0","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 110 DLX                                        ","ROJO     ","","IBAGUE","890705341","$3","696","639"
"PVT-00097093","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL TOLIMA S.A.S","0","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","*XR 150L                                          ","NEGRO    ","09/05/2017","IBAGUE","890705341","$3","696","639"
"PVT-00097093","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL TOLIMA S.A.S","0","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","WAVE 110S                                         ","BLANCO   ","09/05/2017","IBAGUE","890705341","$5","789","916"
"PVT-00097093","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL TOLIMA S.A.S","0","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 110 DLX                                        ","NEGRO    ","09/05/2017","IBAGUE","890705341","$3","941","176"
"PVT-00097093","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL TOLIMA S.A.S","0","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 190R                                           ","ROJO NEGR","09/05/2017","IBAGUE","890705341","$3","696","639"
"PVT-00097093","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL TOLIMA S.A.S","0","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 160F DLX                                       ","NEGRO PER","09/05/2017","IBAGUE","890705341","$7","554","622"
"PVT-00096940","09/01/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL TOLIMA S.A.S","3","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","DIO  110                                          ","AZUL     ","09/05/2017","IBAGUE","890705341","$6","133","613"
"PVT-00096940","09/01/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","4","SUPERMOTOS DEL TOLIMA S.A.S","4","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 160F DLX                                       ","NEGRO PER","","IBAGUE","890705341","$3","521","8"
"PVT-00096940","09/01/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL TOLIMA S.A.S","2","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","CB 160F DLX                                       ","BLANCO PE","","IBAGUE","890705341","$6","133","613"
"PVT-00096940","09/01/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL TOLIMA S.A.S","2","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","DIO  110                                          ","BLANCO NE","","IBAGUE","890705341","$6","133","613"
"PVT-00096940","09/01/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","10","SUPERMOTOS DEL TOLIMA S.A.S","10","SUPERMOTOS DEL TOLIMA S.A.S IBAGUE","DIO  110                                          ","ROJO     ","","IBAGUE","890705341","$3","521","8"
